id_incidencia,ubicacion,lat,lon,descripcion,nivel_incidencia,estado,fecha,hora,verificacion_usuario,id_tipo_incidencia,id_usuario,id_numero_emergencia,id_denuncia
1,"-6.865884,-79.815232",-6.865884,-79.815232,Arrojo de desmonte en terreno baldío,B,3,2025-06-02,05:07:11,0,4,17,4.0,
2,"-6.865708,-79.81655",-6.865708,-79.81655,Consumo de alcohol en vía pública,C,3,2025-06-01,03:49:08,1,2,9,,12.0
3,"-6.863792,-79.817196",-6.863792,-79.817196,Alcantarilla tapada genera mal olor,C,P,2025-06-01,19:53:35,1,1,22,1.0,
4,"-6.866597,-79.814532",-6.866597,-79.814532,Paradero informal genera congestión,C,2,2025-06-01,15:49:52,1,5,19,4.0,
5,"-6.858121,-79.803286",-6.858121,-79.803286,Ciclista transita por vereda peatonal,C,P,2025-06-01,06:17:40,0,5,21,,6.0
6,"-6.868409,-79.804449",-6.868409,-79.804449,Venta de comida en mal estado,B,2,2025-06-01,16:41:26,1,3,4,,4.0
7,"-6.878123,-79.820463",-6.878123,-79.820463,Chofer de combi maneja imprudentemente,B,1,2025-06-01,04:59:41,1,5,14,,2.0
8,"-6.862657,-79.818484",-6.862657,-79.818484,Obstrucción de vereda por mercadería,B,3,2025-06-01,09:30:11,1,3,18,3.0,
9,"-6.86082,-79.81568",-6.86082,-79.81568,Acumulación de basura en canal de regadío,C,2,2025-06-03,09:54:37,0,4,15,1.0,
10,"-6.866944,-79.818377",-6.866944,-79.818377,Mal manejo de aguas residuales,C,3,2025-06-01,19:12:19,0,4,5,1.0,
11,"-6.85784,-79.821455",-6.85784,-79.821455,Robo de motocicleta en horario nocturno,B,1,2025-06-01,15:59:58,1,2,4,,6.0
12,"-6.869586,-79.82893",-6.869586,-79.82893,Vehículo de carga obstruye tránsito,B,1,2025-06-01,14:20:11,1,5,10,,5.0
13,"-6.863499,-79.828588",-6.863499,-79.828588,Poste de alumbrado público no funciona,A,2,2025-06-01,07:10:58,0,1,7,,6.0
14,"-6.862695,-79.828127",-6.862695,-79.828127,Ciclista transita por vereda peatonal,A,2,2025-06-01,15:53:00,0,5,10,4.0,
15,"-6.862275,-79.819254",-6.862275,-79.819254,Venta de comida en mal estado,C,3,2025-06-02,18:00:05,1,3,6,,7.0
16,"-6.865427,-79.821413",-6.865427,-79.821413,Bache grande en la pista principal,B,2,2025-06-03,05:14:04,0,1,21,,8.0
17,"-6.85139,-79.817984",-6.85139,-79.817984,Mototaxi no respeta paradero establecido,B,3,2025-06-01,00:54:01,1,5,24,,11.0
18,"-6.866259,-79.815671",-6.866259,-79.815671,Obstrucción de vereda por mercadería,B,3,2025-06-01,17:00:06,0,3,9,,9.0
19,"-6.858317,-79.818151",-6.858317,-79.818151,Venta de comida en mal estado,A,2,2025-06-01,11:35:34,1,3,14,,10.0
20,"-6.864672,-79.815587",-6.864672,-79.815587,Vandalismo en propiedad municipal,C,P,2025-06-05,23:28:42,0,2,6,,8.0
21,"-6.865522,-79.816561",-6.865522,-79.816561,Chofer de combi maneja imprudentemente,B,3,2025-06-02,20:10:22,1,5,24,3.0,
22,"-6.860894,-79.821443",-6.860894,-79.821443,Mal manejo de aguas residuales,B,2,2025-06-02,03:07:18,1,4,21,,8.0
23,"-6.86599,-79.819476",-6.86599,-79.819476,Vandalismo en propiedad municipal,B,2,2025-06-04,20:41:34,1,2,10,,2.0
24,"-6.87113,-79.821435",-6.87113,-79.821435,Paradero informal genera congestión,B,3,2025-06-02,23:57:05,0,5,4,,2.0
25,"-6.860636,-79.816112",-6.860636,-79.816112,Paradero informal genera congestión,C,3,2025-06-03,02:11:43,1,5,12,1.0,
26,"-6.865683,-79.817896",-6.865683,-79.817896,Arrojo de desmonte en terreno baldío,C,P,2025-06-04,05:58:49,0,4,11,,7.0
27,"-6.860168,-79.822369",-6.860168,-79.822369,Mal manejo de aguas residuales,C,P,2025-06-04,07:12:24,1,4,11,,7.0
28,"-6.877333,-79.805926",-6.877333,-79.805926,Mototaxi no respeta paradero establecido,B,1,2025-06-02,03:23:08,1,5,16,1.0,
29,"-6.877078,-79.815669",-6.877078,-79.815669,Robo de motocicleta en horario nocturno,A,1,2025-06-02,00:47:11,1,2,7,1.0,
30,"-6.85322,-79.824783",-6.85322,-79.824783,Ciclista transita por vereda peatonal,C,3,2025-06-02,02:53:54,0,5,8,,12.0
31,"-6.862573,-79.821954",-6.862573,-79.821954,Arrojo de desmonte en terreno baldío,C,P,2025-06-03,09:34:02,1,4,24,2.0,
32,"-6.869291,-79.816988",-6.869291,-79.816988,Robo de motocicleta en horario nocturno,A,1,2025-06-03,00:57:47,1,2,24,4.0,
33,"-6.863976,-79.819465",-6.863976,-79.819465,"Parque sin mantenimiento, grass alto",A,1,2025-06-02,17:23:36,0,1,21,,6.0
34,"-6.858934,-79.825703",-6.858934,-79.825703,Acumulación de basura en canal de regadío,A,2,2025-06-05,11:26:02,1,4,14,3.0,
35,"-6.86109,-79.819591",-6.86109,-79.819591,Arrojo de desmonte en terreno baldío,C,3,2025-06-05,08:07:27,0,4,23,2.0,
36,"-6.863663,-79.80459",-6.863663,-79.80459,Quema de basura contamina el aire,C,P,2025-06-06,05:25:50,1,4,10,,7.0
37,"-6.865202,-79.807971",-6.865202,-79.807971,Fuga de agua en tubería principal,B,1,2025-06-04,19:04:13,1,1,12,2.0,
38,"-6.859826,-79.818446",-6.859826,-79.818446,Mototaxi no respeta paradero establecido,C,2,2025-06-05,21:56:12,1,5,25,3.0,
39,"-6.864931,-79.820534",-6.864931,-79.820534,Chofer de combi maneja imprudentemente,A,2,2025-06-04,22:45:11,0,5,8,2.0,
40,"-6.863474,-79.816233",-6.863474,-79.816233,Alcantarilla tapada genera mal olor,B,2,2025-06-03,18:36:42,0,1,1,3.0,
41,"-6.862406,-79.818538",-6.862406,-79.818538,Bache grande en la pista principal,B,2,2025-06-05,07:59:33,1,1,10,,5.0
42,"-6.867908,-79.816206",-6.867908,-79.816206,Comerciante no respeta horarios establecidos,C,3,2025-06-06,13:58:54,0,3,14,,12.0
43,"-6.854466,-79.810595",-6.854466,-79.810595,Poste de alumbrado público no funciona,C,3,2025-06-05,17:32:43,1,1,1,4.0,
