id_incidencia,ubicacion,lat,lon,descripcion,nivel_incidencia,estado,fecha,hora,verificacion_usuario,id_tipo_incidencia,id_usuario,id_numero_emergencia,id_denuncia
1,"-6.868776,-79.813023",-6.868776,-79.813023,Arrojo de desmonte en terreno baldío,C,2,2025-06-01,23:09:51,1,4,13,,8.0
2,"-6.850947,-79.815662",-6.850947,-79.815662,Local comercial sin autorización municipal,C,2,2025-06-01,17:26:24,0,3,20,4.0,
3,"-6.861218,-79.817529",-6.861218,-79.817529,Acumulación de basura en canal de regadío,A,1,2025-06-03,21:42:28,1,4,10,,12.0
4,"-6.862395,-79.824682",-6.862395,-79.824682,Falta de recojo de basura hace 3 días,B,2,2025-06-02,03:47:51,0,1,21,3.0,
5,"-6.872225,-79.80985",-6.872225,-79.80985,Quema de basura contamina el aire,B,2,2025-06-01,03:01:31,1,4,23,6.0,
6,"-6.86326,-79.814889",-6.86326,-79.814889,Poste de alumbrado público no funciona,C,2,2025-06-03,06:58:36,1,1,25,,3.0
7,"-6.860344,-79.812889",-6.860344,-79.812889,Vendedor ambulante sin licencia,B,1,2025-06-03,08:20:15,1,3,17,1.0,
8,"-6.864297,-79.818504",-6.864297,-79.818504,Chofer de combi maneja imprudentemente,B,2,2025-06-01,22:19:29,0,5,11,3.0,
9,"-6.866446,-79.819147",-6.866446,-79.819147,Riña callejera entre jóvenes,A,1,2025-06-01,00:13:57,1,2,16,,8.0
10,"-6.865665,-79.82092",-6.865665,-79.82092,Violencia familiar reportada por vecinos,B,3,2025-06-01,01:06:20,0,2,25,3.0,
11,"-6.875248,-79.827623",-6.875248,-79.827623,Violencia familiar reportada por vecinos,A,1,2025-06-01,06:44:53,1,2,19,,10.0
12,"-6.864379,-79.818813",-6.864379,-79.818813,Tala de árbol sin autorización,B,1,2025-06-01,15:20:08,1,4,21,1.0,
13,"-6.857666,-79.8256",-6.857666,-79.8256,Arrojo de desmonte en terreno baldío,B,1,2025-06-01,03:00:07,0,4,20,3.0,
14,"-6.868235,-79.820438",-6.868235,-79.820438,Chofer de combi maneja imprudentemente,B,2,2025-06-02,19:24:45,0,5,18,,12.0
15,"-6.862688,-79.819201",-6.862688,-79.819201,Falta de recojo de basura hace 3 días,C,2,2025-06-01,00:38:08,1,1,9,,5.0
16,"-6.862762,-79.813421",-6.862762,-79.813421,Paradero informal genera congestión,A,1,2025-06-01,14:04:46,1,5,12,,5.0
17,"-6.862779,-79.814454",-6.862779,-79.814454,Bache grande en la pista principal,B,3,2025-06-01,17:40:21,1,1,23,5.0,
