id_incidencia,ubicacion,lat,lon,descripcion,nivel_incidencia,estado,fecha,hora,verificacion_usuario,id_tipo_incidencia,id_usuario,id_numero_emergencia,id_denuncia
1,"-6.857326,-79.820051",-6.857326,-79.820051,Semáforo malogrado en el cruce,C,2,2023-01-02,06:27:22,1,1,3,,11.0
2,"-6.864788,-79.813346",-6.864788,-79.813346,Riña callejera entre jóvenes,B,2,2023-01-02,22:46:57,0,2,22,,1.0
3,"-6.861988,-79.816719",-6.861988,-79.816719,Tala de árbol sin autorización,A,2,2023-01-02,15:47:57,0,4,7,5.0,
4,"-6.865191,-79.820946",-6.865191,-79.820946,Tala de árbol sin autorización,B,2,2023-01-01,05:25:53,1,4,15,,5.0
5,"-6.860243,-79.816578",-6.860243,-79.816578,Vehículo de carga obstruye tránsito,B,2,2023-01-03,03:47:57,1,5,24,,6.0
6,"-6.864938,-79.816542",-6.864938,-79.816542,Vehículo de carga obstruye tránsito,B,2,2023-01-03,18:15:07,0,5,23,6.0,
7,"-6.862895,-79.817823",-6.862895,-79.817823,Consumo de alcohol en vía pública,A,1,2023-01-03,20:53:53,0,2,1,2.0,
8,"-6.862792,-79.817608",-6.862792,-79.817608,Hurto en tienda del barrio,B,3,2023-01-01,00:37:39,0,2,18,6.0,
9,"-6.862052,-79.814153",-6.862052,-79.814153,Hurto en tienda del barrio,C,P,2023-01-02,01:50:25,0,2,18,,4.0
10,"-6.861684,-79.820452",-6.861684,-79.820452,Venta de comida en mal estado,B,1,2023-01-05,07:08:28,1,3,19,2.0,
11,"-6.87119,-79.817963",-6.87119,-79.817963,Ruido excesivo por música de cantina,B,2,2023-01-02,14:26:39,1,3,9,,10.0
12,"-6.862815,-79.824145",-6.862815,-79.824145,Acumulación de basura en canal de regadío,B,2,2023-01-02,07:29:09,0,4,23,,6.0
13,"-6.87086,-79.811655",-6.87086,-79.811655,Vendedor ambulante sin licencia,C,3,2023-01-02,18:35:17,1,3,19,,2.0
14,"-6.864228,-79.816653",-6.864228,-79.816653,Bache grande en la pista principal,A,2,2023-01-03,08:36:29,0,1,2,1.0,
